2022 Utility Bundled Retail Sales- Commercial;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
Bozrah Light & Power Company;CT;Municipal;375;8.350;1.727,6;20,69
City of Norwich - (CT);CT;Municipal;2.081;131.915;25.720,7;19,50
Connecticut Light & Power Co;CT;Investor Owned;81.002;2.501.050;513.404,9;20,53
Constellation Solar Holding, LLC;CT;Behind the Meter;1;570;68,4;12,00
Greenbacker Renewable Energy Corporation;CT;Behind the Meter;3;959;196,6;20,50
Greenskies Renewable Energy, LLC;CT;Behind the Meter;34;38.662;2.292,0;5,93
Groton Dept of Utilities - (CT);CT;Municipal;1.602;95.235;16.279,9;17,09
Longroad Energy;CT;Behind the Meter;8;1.398;172,9;12,37
TerraForm US Energy Services, LLC;CT;Behind the Meter;7;1.518;304,0;20,03
Tesla Inc.;CT;Behind the Meter;848;18.123;1.836,0;10,13
Town of Wallingford - (CT);CT;Municipal;3.652;222.002;29.465,1;13,27
United Illuminating Co;CT;Investor Owned;17.944;534.826;109.476,6;20,47
Constellation Solar Holding, LLC;DC;Behind the Meter;2;1.151;68,7;5,97
Potomac Electric Power Co;DC;Investor Owned;19.249;1.694.346;252.677,3;14,91
City of Dover - (DE);DE;Municipal;3.436;221.060;28.667,0;12,97
City of Milford - (DE);DE;Municipal;1.430;68.173;8.159,9;11,97
City of Newark - (DE);DE;Municipal;1.456;71.905;11.190,7;15,56
Constellation Solar Holding, LLC;DE;Behind the Meter;1;1.119;66,6;5,95
Delaware Electric Cooperative;DE;Cooperative;12.930;295.498;36.825,0;12,46
Delmarva Power;DE;Investor Owned;27.742;1.265.482;154.313,3;12,19
Scale Sustainable I, LLC;DE;Behind the Meter;1;5;0,5;10,00
Tesla Inc.;DE;Behind the Meter;1;557;35,0;6,28
Town of Middletown - (DE);DE;Municipal;644;7.165;1.050,9;14,67
Beaches Energy Services;FL;Municipal;5.586;260.779;33.604,7;12,89
Central Florida Elec Coop, Inc;FL;Cooperative;3.205;94.799;13.340,8;14,07
Choctawhatche Elec Coop, Inc;FL;Cooperative;7.595;234.209;25.852,0;11,04
City of Bartow - (FL);FL;Municipal;1.510;73.593;9.796,9;13,31
City of Homestead - (FL);FL;Municipal;2.170;66.241;5.504,0;8,31
City of Lake Worth Beach - (FL);FL;Municipal;3.217;151.852;21.069,0;13,87
City of Lakeland - (FL);FL;Municipal;16.135;972.166;105.150,4;10,82
City of Leesburg - (FL);FL;Municipal;5.046;219.418;30.839,9;14,06
City of Ocala;FL;Municipal;10.727;210.877;21.683,6;10,28
City of Tallahassee - (FL);FL;Municipal;15.325;1.474.215;129.158,0;8,76
City of Winter Park - (FL);FL;Municipal;2.560;237.117;24.699,2;10,42
