2022 Utility Bundled Retail Sales- Industrial;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
United Electric Co-op, Inc - (ID);ID;Cooperative;1.192;178.416;9.023,0;5,06
Ameren Illinois Company;IL;Investor Owned;290;570.152;57.322,8;10,05
City of Batavia - (IL);IL;Municipal;10;173.136;16.978,0;9,81
City of Geneva- (IL);IL;Municipal;20;156.680;12.969,0;8,28
City of Naperville - (IL);IL;Municipal;8;68.085;7.273,0;10,68
City of Peru - (IL);IL;Municipal;8;113.312;11.465,0;10,12
City of St Charles - (IL);IL;Municipal;37;195.544;19.409,7;9,93
Coles-Moultrie Electric Coop;IL;Cooperative;9;35.590;3.720,0;10,45
Commonwealth Edison Co;IL;Investor Owned;136;902.236;93.267,7;10,34
Corn Belt Energy Corporation;IL;Cooperative;3;70.286;4.928,0;7,01
Eastern Illinois Elec Coop;IL;Cooperative;15;18.284;2.167,0;11,85
Jo-Carroll Energy, Inc;IL;Cooperative;83;90.039;9.328,0;10,36
Menard Electric Coop;IL;Cooperative;1.290;54.842;7.271,7;13,26
MidAmerican Energy Co;IL;Investor Owned;45;739.453;39.611,8;5,36
Mt Carmel Public Utility Co;IL;Investor Owned;91;23.891;3.555,0;14,88
Norris Electric Coop;IL;Cooperative;12;13.713;3.861,0;28,16
Rochelle Municipal Utilities;IL;Municipal;45;234.429;27.466,0;11,72
Rock Energy Cooperative;IL;Cooperative;21;45.573;4.539,0;9,96
Shelby Electric Coop, Inc;IL;Cooperative;22;89.171;9.167,0;10,28
Southeastern IL Elec Coop, Inc;IL;Cooperative;28;335.975;30.257,0;9,01
Southwestern Electric Coop Inc - (IL);IL;Cooperative;7;12.645;4.134,9;32,70
Tri-County Electric Coop, Inc (IL);IL;Cooperative;49;109.637;9.899,1;9,03
Wayne-White Counties Elec Coop;IL;Cooperative;171;170.178;13.061,5;7,68
AGC Division of APGI Inc;IN;Investor Owned;2;2.280.383;121.625,0;5,33
Bartholomew County Rural E M C;IN;Cooperative;12;212.798;19.044,1;8,95
Carroll-White REMC;IN;Cooperative;1;100.314;8.056,0;8,03
City of Anderson - (IN);IN;Municipal;59;278.479;21.192,3;7,61
City of Auburn - (IN);IN;Municipal;166;325.462;36.220,5;11,13
City of Bluffton - (IN);IN;Municipal;39;202.770;16.281,0;8,03
City of Frankfort - (IN);IN;Municipal;56;231.168;18.290,0;7,91
City of Greenfield - (IN);IN;Municipal;13;153.200;13.123,0;8,57
City of Jasper - (IN);IN;Municipal;84;105.809;10.756,9;10,17
City of Lebanon - (IN);IN;Municipal;135;136.054;11.793,7;8,67
City of Logansport - (IN);IN;Municipal;61;248.756;19.268,6;7,75
City of Peru - (IN);IN;Municipal;12;68.753;6.254,0;9,10
City of Richmond - (IN);IN;Municipal;131;513.236;44.514,6;8,67
Clark County Rural E M C - (IN);IN;Cooperative;132;51.261;5.139,3;10,03
Crawfordsville Elec, Lgt & Pwr;IN;Municipal;81;238.464;22.590,9;9,47
Daviess Martin County R E M C;IN;Cooperative;2;244.386;17.013,0;6,96
Decatur County Rural E M C;IN;Cooperative;6;197.166;14.911,0;7,56
Dubois Rural Electric Coop Inc;IN;Cooperative;87;98.486;9.081,0;9,22
Duke Energy Indiana, LLC;IN;Investor Owned;2.669;9.534.797;955.897,2;10,03
Harrison County Rural E M C;IN;Cooperative;18;61.284;5.982,6;9,76
Heartland REMC;IN;Cooperative;7;251.250;21.141,0;8,41
Hendricks County Rural E M C;IN;Cooperative;4;43.367;3.485,4;8,04
Indiana Michigan Power Co;IN;Investor Owned;4.025;6.589.410;554.938,0;8,42
Indianapolis Power & Light Co;IN;Investor Owned;5.481;6.091.677;625.352,0;10,27
Jackson County Rural E M C - (IN);IN;Cooperative;22;41.848;3.828,0;9,15
Jasper County Rural E M C;IN;Cooperative;2;49.538;3.662,3;7,39
Johnson County Rural E M C;IN;Cooperative;31;92.678;7.738,8;8,35
Kankakee Valley Rural E M C;IN;Cooperative;11;23.811;2.418,8;10,16
Kosciusko County Rural E M C;IN;Cooperative;1.353;267.085;25.791,9;9,66
NineStar Connect;IN;Cooperative;27;26.021;2.973,0;11,43
Noble County R E M C;IN;Cooperative;138;54.465;5.308,5;9,75
Northeastern Rural E M C;IN;Cooperative;6;1.288.343;73.665,3;5,72
Northern Indiana Pub Serv Co;IN;Investor Owned;2.136;7.915.344;560.956,2;7,09
Paulding-Putman Elec Coop, Inc;IN;Cooperative;7;52.050;5.113,4;9,82
RushShelby Energy;IN;Cooperative;13;178.873;13.226,0;7,39
