2022 Utility Bundled Retail Sales- Residential;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
San Miguel Power Assn, Inc;CO;Cooperative;11.741;114.968;18.152,3;15,79
Southeast Colorado Power Assn;CO;Cooperative;7.989;72.404;12.103,0;16,72
Southwestern Electric Coop Inc - (NM);CO;Cooperative;5;88;18,2;20,68
Spruce Finance;CO;Behind the Meter;986;8.566;864,6;10,09
SunPower Capital, LLC;CO;Behind the Meter;1.108;4.625;807,3;17,46
Sunnova;CO;Behind the Meter;2.574;8.815;452,4;5,13
Sunrun Inc.;CO;Behind the Meter;6.612;49.762;7.873,9;15,82
Tesla Inc.;CO;Behind the Meter;12.911;89.945;10.542,0;11,72
Tri-County Electric Coop, Inc (OK);CO;Cooperative;9;48;8,6;17,92
United Power, Inc;CO;Cooperative;95.049;946.371;126.699,1;13,39
Wheatland Electric Coop, Inc;CO;Cooperative;29;181;31,1;17,18
White River Electric Assn, Inc;CO;Cooperative;2.623;21.678;2.963,7;13,67
Y-W Electric Assn Inc;CO;Cooperative;4.887;48.207;7.210,0;14,96
Yampa Valley Electric Assn Inc;CO;Cooperative;22.692;247.810;36.660,4;14,79
Bozrah Light & Power Company;CT;Municipal;2.417;24.006;4.652,0;19,38
City of Norwich - (CT);CT;Municipal;18.657;138.218;31.526,8;22,81
Connecticut Light & Power Co;CT;Investor Owned;1.035.056;8.907.476;2.269.180,3;25,48
Groton Dept of Utilities - (CT);CT;Municipal;12.244;105.850;18.710,1;17,68
Spruce Finance;CT;Behind the Meter;1.213;9.265;1.522,9;16,44
SunPower Capital, LLC;CT;Behind the Meter;2.308;23.935;3.941,5;16,47
Sunnova;CT;Behind the Meter;14.930;135.739;22.494,0;16,57
Sunrun Inc.;CT;Behind the Meter;12.732;97.657;20.187,2;20,67
Tesla Inc.;CT;Behind the Meter;8.461;58.470;9.989,0;17,08
Town of Wallingford - (CT);CT;Municipal;21.543;219.811;34.746,1;15,81
United Illuminating Co;CT;Investor Owned;270.343;1.797.627;423.428,4;23,55
Potomac Electric Power Co;DC;Investor Owned;267.819;2.061.710;261.653,5;12,69
Sunnova;DC;Behind the Meter;32;273;15,1;5,53
Sunrun Inc.;DC;Behind the Meter;49;259;32,6;12,59
Tesla Inc.;DC;Behind the Meter;506;2.105;256,0;12,16
City of Dover - (DE);DE;Municipal;21.281;216.310;30.791,0;14,23
City of Milford - (DE);DE;Municipal;6.879;78.254;10.258,8;13,11
City of Newark - (DE);DE;Municipal;11.725;100.064;17.014,2;17,00
Delaware Electric Cooperative;DE;Cooperative;100.127;1.277.790;165.587,0;12,96
Delmarva Power;DE;Investor Owned;268.944;2.959.985;395.984,5;13,38
Sunnova;DE;Behind the Meter;72;826;52,8;6,39
Sunrun Inc.;DE;Behind the Meter;405;3.317;395,9;11,94
Tesla Inc.;DE;Behind the Meter;3.327;31.062;4.676,0;15,05
Town of Middletown - (DE);DE;Municipal;8.867;97.381;13.511,7;13,88
Beaches Energy Services;FL;Municipal;30.525;440.699;53.954,1;12,24
Central Florida Elec Coop, Inc;FL;Cooperative;31.784;393.696;57.488,0;14,60
Choctawhatche Elec Coop, Inc;FL;Cooperative;52.816;761.103;96.115,9;12,63
City of Bartow - (FL);FL;Municipal;10.918;151.095;20.810,1;13,77
City of Homestead - (FL);FL;Municipal;28.797;385.270;46.411,5;12,05
City of Lake Worth Beach - (FL);FL;Municipal;24.432;282.450;38.966,0;13,80
City of Lakeland - (FL);FL;Municipal;116.907;1.689.706;205.750,6;12,18
City of Leesburg - (FL);FL;Municipal;23.558;278.088;41.272,4;14,84
City of Ocala;FL;Municipal;44.316;550.520;58.541,9;10,63
City of Tallahassee - (FL);FL;Municipal;106.720;1.148.688;141.823,0;12,35
City of Winter Park - (FL);FL;Municipal;12.304;191.118;27.428,8;14,35
Clay Electric Cooperative, Inc;FL;Cooperative;165.066;2.366.748;331.749,1;14,02
Duke Energy Florida, LLC;FL;Investor Owned;1.730.814;21.507.943;3.335.666,2;15,51
Florida Keys El Coop Assn, Inc;FL;Cooperative;28.179;458.435;65.700,0;14,33
Florida Power & Light Co;FL;Investor Owned;5.079.787;69.473.785;9.349.311,5;13,46
Florida Public Utilities Co;FL;Investor Owned;25.516;305.593;44.727,0;14,64
Fort Pierce Utilities Authority;FL;Municipal;23.862;253.034;39.171,0;15,48
Gainesville Regional Utilities;FL;Municipal;89.751;839.871;148.603,9;17,69
Glades Electric Coop, Inc;FL;Cooperative;13.636;175.967;30.724,0;17,46
Gulf Coast Electric Coop, Inc;FL;Cooperative;20.280;284.511;39.979,0;14,05
JEA;FL;Municipal;447.308;5.723.164;810.916,0;14,17
Kissimmee Utility Authority;FL;Municipal;74.568;1.016.798;141.220,4;13,89
Lee County Electric Coop, Inc;FL;Cooperative;215.106;3.162.353;424.855,2;13,43
New Smyrna Beach City of;FL;Municipal;27.014;312.973;33.835,0;10,81
Okefenoke Rural El Member Corp;FL;Cooperative;10.695;164.475;22.037,3;13,40
Orlando Utilities Comm;FL;Municipal;236.057;2.790.761;392.464,8;14,06
Peace River Electric Coop, Inc;FL;Cooperative;47.390;673.803;94.869,8;14,08
Reedy Creek Improvement Dist;FL;Municipal;9;111;12,0;10,81
Sumter Electric Coop, Inc;FL;Cooperative;210.291;2.581.354;378.745,0;14,67
Sunnova;FL;Behind the Meter;4.582;54.239;4.416,0;8,14
Sunrun Inc.;FL;Behind the Meter;7.766;101.678;16.094,1;15,83
Suwannee Valley Elec Coop Inc;FL;Cooperative;25.154;325.922;47.805,0;14,67
Talquin Electric Coop, Inc;FL;Cooperative;52.931;697.590;98.423,0;14,11
Tampa Electric Co;FL;Investor Owned;729.334;10.109.074;1.380.689,9;13,66
Tesla Inc.;FL;Behind the Meter;703;4.368;359,0;8,22
Tri-County Electric Coop, Inc (FL);FL;Cooperative;18.012;183.448;28.774,4;15,69
Utility Board of the City of Key West, F;FL;Municipal;26.831;388.297;69.977,0;18,02
West Florida El Coop Assn, Inc;FL;Cooperative;25.718;321.035;49.452,0;15,40
Withlacoochee River Elec Coop;FL;Cooperative;213.311;3.093.524;410.353,6;13,26
Albany Utility Board;GA;Municipal;29.062;339.594;37.417,3;11,02
Altamaha Electric Member Corp;GA;Cooperative;19.261;244.092;34.611,0;14,18
Amicalola Electric Member Corp;GA;Cooperative;47.836;699.415;83.740,6;11,97
Blue Ridge Mountain EMC - (GA);GA;Cooperative;29.685;295.721;45.159,0;15,27
Canoochee Electric Member Corp;GA;Cooperative;22.664;316.720;39.565,7;12,49
Carroll Electric Member Corp - (GA);GA;Cooperative;51.513;729.989;94.360,0;12,93
Central Georgia El Member Corp;GA;Cooperative;58.255;895.626;105.164,0;11,74
City of Buford;GA;Municipal;2.925;37.659;4.894,8;13,00
City of Calhoun - (GA);GA;Municipal;4.392;47.653;6.483,1;13,60
City of Cartersville - (GA);GA;Municipal;6.532;83.025;10.439,0;12,57
City of Chattanooga - (TN);GA;Municipal;9.815;141.918;17.202,0;12,12
City of Chickamauga;GA;Municipal;834;10.914;1.428,0;13,08
City of College Park - (GA);GA;Municipal;7.498;71.648;10.118,8;14,12
City of Covington - (GA);GA;Municipal;11.289;146.826;16.944,5;11,54
City of Douglas;GA;Municipal;4.091;56.408;5.865,3;10,40
City of East Point - (GA);GA;Municipal;16.114;160.296;19.228,7;12,00
City of Griffin - (GA);GA;Municipal;13.786;160.493;20.976,0;13,07
City of La Grange - (GA);GA;Municipal;11.803;137.140;16.627,0;12,12
City of Lawrenceville - (GA);GA;Municipal;11.670;108.057;14.123,1;13,07
City of Marietta - (GA);GA;Municipal;35.618;351.879;41.150,0;11,69
City of Sylvania - (GA);GA;Municipal;1.934;21.324;2.890,1;13,55
City of Thomasville - (GA);GA;Municipal;13.668;187.490;22.330,7;11,91
Coastal Electric Member Corp;GA;Cooperative;19.423;288.254;40.356,1;14,00
Cobb Electric Membership Corp;GA;Cooperative;196.155;2.630.027;312.727,8;11,89
Colquitt Electric Membership Corp;GA;Cooperative;64.493;884.946;115.976,1;13,11
Coweta-Fayette El Member Corp;GA;Cooperative;80.242;1.170.511;145.755,9;12,45
Crisp County Power Comm;GA;Political Subdivision;9.213;145.576;18.305,0;12,57
Dalton Utilities;GA;Municipal;12.734;155.218;18.065,0;11,64
Diverse Power Incorporated;GA;Cooperative;30.728;446.648;75.999,4;17,02
Excelsior Electric Member Corp;GA;Cooperative;22.763;327.084;42.090,0;12,87
Flint Electric Membership Corp;GA;Cooperative;79.918;1.215.797;161.300,7;13,27
Georgia Power Co;GA;Investor Owned;2.366.818;29.085.636;4.415.254,4;15,18
Grady Electric Membership Corp;GA;Cooperative;19.032;248.393;37.625,0;15,15
GreyStone Power Corporation;GA;Cooperative;131.489;1.876.572;204.914,0;10,92
Habersham Electric Membership Corp;GA;Cooperative;33.899;438.518;56.869,0;12,97
Hart Electric Member Corp;GA;Cooperative;29.326;410.046;57.504,0;14,02
Haywood Electric Member Corp;GA;Cooperative;421;3.612;583,0;16,14
Irwin Electric Membership Corp;GA;Cooperative;10.863;133.760;20.398,0;15,25
Jackson Electric Member Corp - (GA);GA;Cooperative;225.116;3.327.794;404.591,4;12,16
Jefferson Electric Member Corp;GA;Cooperative;34.057;459.678;58.000,0;12,62
Mitchell Electric Member Corp;GA;Cooperative;21.178;289.178;45.401,7;15,70
Newnan Wtr, Sewer & Light Comm;GA;Municipal;8.720;94.285;11.229,0;11,91
North Georgia Elec Member Corp;GA;Cooperative;88.361;1.435.545;171.649,0;11,96
Oconee Electric Member Corp;GA;Cooperative;10.561;144.165;20.352,2;14,12
Okefenoke Rural El Member Corp;GA;Cooperative;26.394;367.000;50.079,0;13,65
Planters Electric Member Corp;GA;Cooperative;16.152;225.872;30.491,1;13,50
Rayle Electric Membership Corp;GA;Cooperative;16.117;214.462;30.158,0;14,06
Satilla Rural Elec Member Corporation;GA;Cooperative;52.861;739.023;99.461,5;13,46
Sawnee Electric Membership Corporation;GA;Cooperative;174.430;2.469.224;297.589,0;12,05
Snapping Shoals El Member Corp;GA;Cooperative;101.592;1.574.270;188.790,9;11,99
Southern Rivers Energy;GA;Cooperative;19.704;298.542;44.102,0;14,77
Sumter Electric Member Corp;GA;Cooperative;14.921;227.101;30.436,9;13,40
Sunnova;GA;Behind the Meter;1;36;2,7;7,50
Three Notch Elec Member Corp;GA;Cooperative;13.881;146.333;21.772,0;14,88
Tri-County Elec Member Corp (GA);GA;Cooperative;20.665;289.840;42.135,6;14,54
Tri-State Electric Member Corp;GA;Cooperative;12.740;156.534;21.465,0;13,71
Walton Electric Member Corp;GA;Cooperative;127.193;1.932.954;242.083,3;12,52
Washington Elec Member Corp;GA;Cooperative;14.981;187.259;27.226,0;14,54
Hawaii Electric Light Co Inc;HI;Investor Owned;76.932;434.187;208.195,4;47,95
Hawaiian Electric Co Inc;HI;Investor Owned;274.845;1.583.392;687.629,3;43,43
Kauai Island Utility Cooperative;HI;Cooperative;29.936;191.955;75.466,0;39,31
Maui Electric Co Ltd;HI;Investor Owned;63.133;397.618;174.149,3;43,80
Spruce Finance;HI;Behind the Meter;293;3.126;610,5;19,53
SunPower Capital, LLC;HI;Behind the Meter;1.127;4.563;2.461,5;53,94
Sunnova;HI;Behind the Meter;1.597;17.093;3.344,6;19,57
Sunrun Inc.;HI;Behind the Meter;12.253;94.997;26.714,4;28,12
Tesla Inc.;HI;Behind the Meter;2.371;21.460;3.977,0;18,53
Access Energy Coop;IA;Cooperative;8.806;119.218;15.534,8;13,03
Amana Society Service Co;IA;Investor Owned;709;7.253;1.088,0;15,00
Board of Water Electric & Communications;IA;Municipal;10.131;101.809;12.281,1;12,06
Butler County Rural Elec Coop - (IA);IA;Cooperative;3.890;71.266;9.754,0;13,69
Cedar Falls Utilities;IA;Municipal;17.555;177.578;20.765,8;11,69
